,allergies,flu,diarrhea,headache,stomach Ache,anorexia,vomiting,asthma,bronchitis,back pain
2020-01-01,23.0,14.0,67.0,21.0,58.0,42.0,43.0,23.0,79.0,61.0
2020-01-02,19.0,13.0,66.0,54.0,0.0,35.0,32.0,0.0,23.0,39.0
2020-01-03,18.0,9.0,45.0,86.0,47.0,34.0,70.0,37.0,29.0,100.0
2020-01-04,29.0,20.0,39.0,37.0,100.0,0.0,25.0,30.0,39.0,54.0
2020-01-05,19.0,14.0,29.0,31.0,50.0,0.0,49.0,49.0,46.0,33.0
2020-01-06,27.0,9.0,53.0,39.0,0.0,0.0,100.0,18.0,28.0,67.0
2020-01-07,30.0,19.0,35.0,22.0,0.0,33.0,45.0,24.0,21.0,43.0
2020-01-08,18.0,16.0,52.0,33.0,45.0,0.0,22.0,18.0,21.0,72.0
2020-01-09,27.0,17.0,53.0,25.0,0.0,33.0,22.0,18.0,35.0,85.0
2020-01-10,18.0,15.0,71.0,28.0,46.0,33.0,45.0,19.0,21.0,55.0
2020-01-11,0.0,12.0,38.0,43.0,0.0,36.0,24.0,30.0,23.0,46.0
2020-01-12,31.0,15.0,27.0,17.0,0.0,0.0,23.0,0.0,43.0,37.0
2020-01-13,49.0,17.0,32.0,36.0,42.0,30.0,0.0,41.0,29.0,67.0
2020-01-14,27.0,16.0,64.0,45.0,0.0,30.0,27.0,25.0,19.0,60.0
2020-01-15,26.0,12.0,26.0,66.0,44.0,0.0,33.0,35.0,21.0,72.0
2020-01-16,30.0,13.0,62.0,51.0,0.0,66.0,23.0,18.0,21.0,49.0
2020-01-17,18.0,13.0,45.0,17.0,46.0,0.0,57.0,0.0,21.0,62.0
2020-01-18,27.0,15.0,39.0,50.0,0.0,37.0,38.0,20.0,23.0,75.0
2020-01-19,33.0,11.0,29.0,37.0,0.0,54.0,25.0,20.0,23.0,70.0
2020-01-20,18.0,9.0,35.0,39.0,0.0,0.0,34.0,36.0,42.0,54.0
2020-01-21,27.0,13.0,17.0,74.0,44.0,0.0,22.0,18.0,21.0,24.0
2020-01-22,54.0,26.0,35.0,44.0,90.0,0.0,22.0,36.0,35.0,60.0
2020-01-23,36.0,22.0,35.0,39.0,0.0,0.0,0.0,18.0,52.0,61.0
2020-01-24,42.0,20.0,72.0,76.0,46.0,0.0,23.0,25.0,32.0,80.0
2020-01-25,20.0,23.0,100.0,31.0,0.0,37.0,50.0,20.0,24.0,75.0
2020-01-26,32.0,23.0,19.0,18.0,48.0,0.0,48.0,58.0,45.0,78.0
2020-01-27,25.0,19.0,50.0,16.0,44.0,63.0,43.0,26.0,61.0,58.0
2020-01-28,34.0,28.0,68.0,43.0,0.0,32.0,22.0,35.0,20.0,53.0
2020-01-29,17.0,24.0,43.0,49.0,44.0,80.0,88.0,35.0,21.0,47.0
2020-01-30,54.0,30.0,44.0,34.0,0.0,0.0,34.0,49.0,21.0,49.0
2020-01-31,18.0,21.0,36.0,34.0,0.0,67.0,31.0,19.0,64.0,43.0
2020-02-01,20.0,30.0,20.0,31.0,76.0,0.0,25.0,20.0,23.0,61.0
2020-02-02,29.0,18.0,57.0,24.0,49.0,36.0,24.0,39.0,23.0,59.0
2020-02-03,32.0,27.0,32.0,45.0,40.0,29.0,20.0,16.0,0.0,41.0
2020-02-04,23.0,24.0,17.0,49.0,0.0,32.0,33.0,18.0,0.0,53.0
2020-02-05,35.0,21.0,35.0,61.0,44.0,0.0,37.0,18.0,28.0,48.0
2020-02-06,17.0,14.0,35.0,38.0,0.0,0.0,22.0,36.0,21.0,66.0
2020-02-07,17.0,16.0,33.0,48.0,64.0,31.0,21.0,0.0,20.0,40.0
2020-02-08,21.0,21.0,41.0,26.0,0.0,0.0,52.0,31.0,0.0,77.0
2020-02-09,20.0,14.0,58.0,31.0,0.0,0.0,41.0,40.0,0.0,67.0
2020-02-10,17.0,16.0,34.0,22.0,44.0,32.0,22.0,18.0,34.0,53.0
2020-02-11,35.0,13.0,86.0,33.0,44.0,32.0,22.0,0.0,20.0,53.0
2020-02-12,29.0,9.0,35.0,16.0,0.0,97.0,44.0,0.0,41.0,42.0
2020-02-13,35.0,10.0,43.0,27.0,0.0,0.0,0.0,60.0,21.0,54.0
2020-02-14,30.0,12.0,53.0,33.0,0.0,0.0,22.0,18.0,31.0,66.0
2020-02-15,49.0,10.0,29.0,49.0,0.0,73.0,0.0,20.0,23.0,40.0
2020-02-16,45.0,13.0,57.0,30.0,0.0,35.0,24.0,20.0,23.0,78.0
2020-02-17,23.0,8.0,17.0,48.0,0.0,0.0,36.0,17.0,100.0,70.0
2020-02-18,25.0,13.0,16.0,31.0,0.0,0.0,63.0,17.0,33.0,51.0
2020-02-19,17.0,14.0,75.0,42.0,0.0,0.0,21.0,43.0,39.0,46.0
2020-02-20,28.0,8.0,42.0,85.0,43.0,63.0,54.0,26.0,50.0,64.0
2020-02-21,35.0,9.0,51.0,60.0,0.0,48.0,22.0,18.0,0.0,47.0
2020-02-22,39.0,11.0,38.0,42.0,49.0,36.0,48.0,29.0,23.0,72.0
2020-02-23,38.0,14.0,75.0,27.0,0.0,70.0,36.0,39.0,33.0,90.0
2020-02-24,39.0,23.0,50.0,58.0,0.0,41.0,21.0,23.0,20.0,46.0
2020-02-25,33.0,17.0,66.0,26.0,0.0,0.0,35.0,23.0,29.0,51.0
2020-02-26,33.0,23.0,32.0,30.0,0.0,59.0,30.0,24.0,38.0,39.0
2020-02-27,15.0,17.0,46.0,34.0,0.0,29.0,19.0,21.0,18.0,47.0
2020-02-28,35.0,31.0,60.0,73.0,44.0,32.0,22.0,70.0,20.0,41.0
2020-02-29,19.0,31.0,38.0,60.0,49.0,36.0,49.0,29.0,23.0,72.0
2020-03-01,26.0,28.0,57.0,42.0,48.0,0.0,0.0,19.0,45.0,65.0
2020-03-02,28.0,29.0,17.0,53.0,43.0,0.0,43.0,17.0,20.0,46.0
2020-03-03,34.0,24.0,59.0,27.0,0.0,31.0,32.0,26.0,40.0,29.0
2020-03-04,34.0,24.0,33.0,58.0,0.0,31.0,0.0,17.0,30.0,23.0
2020-03-05,41.0,23.0,95.0,33.0,0.0,65.0,29.0,24.0,34.0,30.0
2020-03-06,35.0,31.0,26.0,43.0,0.0,64.0,43.0,18.0,31.0,71.0
2020-03-07,58.0,37.0,48.0,36.0,0.0,0.0,37.0,20.0,23.0,40.0
2020-03-08,38.0,42.0,37.0,47.0,47.0,46.0,71.0,38.0,22.0,32.0
2020-03-09,33.0,35.0,48.0,56.0,41.0,60.0,31.0,49.0,19.0,50.0
2020-03-10,53.0,42.0,55.0,30.0,41.0,44.0,30.0,32.0,28.0,65.0
2020-03-11,33.0,50.0,33.0,57.0,0.0,31.0,42.0,34.0,58.0,79.0
2020-03-12,16.0,100.0,55.0,55.0,0.0,0.0,20.0,16.0,44.0,59.0
2020-03-13,55.0,84.0,100.0,63.0,40.0,38.0,29.0,58.0,28.0,32.0
2020-03-14,76.0,55.0,56.0,53.0,48.0,0.0,36.0,78.0,37.0,32.0
2020-03-15,37.0,77.0,46.0,29.0,0.0,0.0,35.0,100.0,44.0,25.0
2020-03-16,48.0,70.0,86.0,69.0,0.0,29.0,40.0,32.0,50.0,49.0
2020-03-17,43.0,66.0,55.0,30.0,41.0,0.0,50.0,92.0,56.0,49.0
2020-03-18,32.0,75.0,32.0,41.0,41.0,30.0,0.0,44.0,29.0,50.0
2020-03-19,38.0,57.0,87.0,65.0,41.0,0.0,41.0,49.0,47.0,27.0
2020-03-20,57.0,51.0,31.0,68.0,39.0,0.0,49.0,58.0,27.0,32.0
2020-03-21,62.0,75.0,70.0,100.0,0.0,65.0,0.0,42.0,31.0,54.0
2020-03-22,53.0,48.0,35.0,33.0,44.0,32.0,44.0,24.0,21.0,48.0
2020-03-23,42.0,49.0,56.0,44.0,36.0,0.0,18.0,33.0,22.0,19.0
2020-03-24,46.0,52.0,23.0,77.0,39.0,57.0,45.0,55.0,18.0,37.0
2020-03-25,38.0,40.0,72.0,66.0,0.0,60.0,21.0,50.0,38.0,28.0
2020-03-26,53.0,37.0,63.0,70.0,0.0,44.0,40.0,32.0,19.0,70.0
2020-03-27,31.0,39.0,84.0,48.0,0.0,29.0,0.0,39.0,18.0,21.0
2020-03-28,59.0,36.0,70.0,55.0,0.0,33.0,37.0,18.0,21.0,42.0
2020-03-29,39.0,43.0,25.0,42.0,43.0,31.0,21.0,63.0,20.0,52.0
2020-03-30,50.0,28.0,29.0,47.0,38.0,28.0,57.0,46.0,18.0,23.0
2020-03-31,62.0,33.0,53.0,34.0,0.0,43.0,26.0,31.0,36.0,73.0
2020-04-01,55.0,38.0,37.0,56.0,57.0,28.0,19.0,20.0,35.0,46.0
2020-04-02,69.0,32.0,51.0,60.0,37.0,27.0,37.0,23.0,0.0,40.0
2020-04-03,51.0,32.0,67.0,38.0,0.0,29.0,19.0,39.0,27.0,57.0
2020-04-04,72.0,29.0,53.0,45.0,0.0,0.0,22.0,42.0,21.0,49.0
2020-04-05,55.0,33.0,49.0,31.0,0.0,0.0,21.0,17.0,39.0,42.0
2020-04-06,39.0,22.0,57.0,27.0,0.0,27.0,18.0,15.0,25.0,44.0
2020-04-07,75.0,28.0,30.0,47.0,0.0,28.0,19.0,46.0,26.0,56.0
2020-04-08,44.0,19.0,65.0,78.0,37.0,0.0,19.0,35.0,18.0,45.0
2020-04-09,29.0,24.0,63.0,22.0,0.0,27.0,18.0,43.0,25.0,49.0
2020-04-10,21.0,23.0,38.0,48.0,78.0,43.0,39.0,16.0,24.0,79.0
2020-04-11,33.0,22.0,41.0,41.0,84.0,30.0,28.0,22.0,19.0,56.0
2020-04-12,53.0,20.0,60.0,71.0,44.0,32.0,22.0,18.0,20.0,53.0
2020-04-13,53.0,25.0,52.0,52.0,0.0,0.0,28.0,23.0,27.0,77.0
2020-04-14,54.0,15.0,22.0,41.0,37.0,27.0,0.0,30.0,17.0,55.0
2020-04-15,39.0,18.0,44.0,69.0,0.0,27.0,19.0,23.0,34.0,35.0
2020-04-16,50.0,17.0,44.0,46.0,38.0,28.0,37.0,61.0,26.0,45.0
2020-04-17,25.0,17.0,30.0,23.0,0.0,0.0,19.0,15.0,0.0,41.0
2020-04-18,64.0,22.0,26.0,65.0,0.0,32.0,33.0,35.0,41.0,53.0
2020-04-19,40.0,20.0,55.0,60.0,41.0,0.0,30.0,16.0,19.0,65.0
2020-04-20,49.0,19.0,15.0,64.0,0.0,27.0,19.0,20.0,17.0,40.0
2020-04-21,68.0,18.0,57.0,27.0,37.0,27.0,24.0,34.0,25.0,44.0
2020-04-22,54.0,25.0,29.0,55.0,37.0,27.0,18.0,40.0,0.0,50.0
2020-04-23,30.0,19.0,37.0,56.0,75.0,28.0,38.0,25.0,0.0,41.0
2020-04-24,37.0,18.0,23.0,54.0,40.0,29.0,20.0,56.0,19.0,53.0
2020-04-25,42.0,15.0,45.0,51.0,0.0,100.0,34.0,37.0,0.0,55.0
2020-04-26,45.0,16.0,33.0,42.0,0.0,31.0,21.0,23.0,0.0,52.0
2020-04-27,54.0,16.0,15.0,28.0,0.0,41.0,37.0,30.0,0.0,55.0
2020-04-28,57.0,12.0,30.0,29.0,39.0,0.0,20.0,83.0,0.0,57.0
2020-04-29,42.0,21.0,31.0,34.0,79.0,0.0,39.0,53.0,19.0,59.0
2020-04-30,61.0,14.0,42.0,18.0,0.0,0.0,18.0,57.0,17.0,29.0
2020-05-01,56.0,12.0,30.0,33.0,39.0,0.0,29.0,36.0,0.0,21.0
2020-05-02,55.0,10.0,54.0,23.0,0.0,50.0,0.0,18.0,0.0,37.0
2020-05-03,58.0,21.0,68.0,24.0,44.0,32.0,33.0,18.0,0.0,71.0
2020-05-04,63.0,9.0,43.0,31.0,0.0,0.0,45.0,34.0,17.0,29.0
2020-05-05,51.0,14.0,34.0,56.0,0.0,0.0,41.0,42.0,0.0,80.0
2020-05-06,67.0,19.0,30.0,48.0,39.0,28.0,39.0,23.0,18.0,42.0
2020-05-07,36.0,12.0,15.0,43.0,0.0,28.0,0.0,23.0,0.0,62.0
2020-05-08,56.0,14.0,75.0,24.0,0.0,0.0,48.0,31.0,0.0,52.0
2020-05-09,71.0,12.0,48.0,46.0,0.0,30.0,20.0,22.0,0.0,89.0
2020-05-10,77.0,20.0,0.0,26.0,42.0,31.0,28.0,17.0,0.0,34.0
2020-05-11,30.0,7.0,15.0,56.0,0.0,0.0,31.0,23.0,17.0,40.0
2020-05-12,64.0,9.0,58.0,46.0,0.0,27.0,56.0,46.0,0.0,40.0
2020-05-13,46.0,12.0,22.0,52.0,38.0,42.0,29.0,21.0,0.0,31.0
2020-05-14,72.0,10.0,45.0,34.0,39.0,28.0,19.0,23.0,0.0,42.0
2020-05-15,100.0,10.0,52.0,70.0,0.0,27.0,19.0,15.0,18.0,46.0
2020-05-16,54.0,15.0,45.0,45.0,91.0,33.0,23.0,18.0,21.0,37.0
2020-05-17,43.0,15.0,100.0,26.0,0.0,0.0,23.0,0.0,22.0,69.0
2020-05-18,62.0,18.0,33.0,53.0,0.0,0.0,21.0,17.0,0.0,63.0
2020-05-19,35.0,9.0,22.0,52.0,38.0,0.0,38.0,23.0,18.0,61.0
2020-05-20,41.0,13.0,46.0,58.0,39.0,56.0,29.0,21.0,18.0,63.0
2020-05-21,74.0,11.0,31.0,49.0,80.0,0.0,20.0,32.0,0.0,40.0
