,car repair,home repair,maintenance,air conditioning,roof repair	,warranty,heating system,phone repair,glass repair,water heating
2020-01-01,38.0,0.0,15.0,42.0,0.0,18.0,71.0,0.0,0.0,0.0
2020-01-02,32.0,0.0,33.0,35.0,0.0,25.0,0.0,22.0,0.0,0.0
2020-01-03,0.0,0.0,59.0,100.0,0.0,78.0,59.0,21.0,41.0,0.0
2020-01-04,33.0,0.0,38.0,60.0,0.0,47.0,0.0,0.0,44.0,53.0
2020-01-05,33.0,32.0,31.0,59.0,0.0,62.0,0.0,23.0,43.0,52.0
2020-01-06,60.0,0.0,61.0,32.0,41.0,52.0,0.0,21.0,40.0,0.0
2020-01-07,30.0,30.0,50.0,32.0,41.0,100.0,58.0,52.0,40.0,0.0
2020-01-08,59.0,0.0,49.0,32.0,40.0,56.0,56.0,62.0,39.0,94.0
2020-01-09,30.0,30.0,54.0,49.0,0.0,43.0,0.0,21.0,39.0,0.0
2020-01-10,30.0,0.0,58.0,49.0,0.0,43.0,58.0,21.0,40.0,49.0
2020-01-11,65.0,32.0,25.0,35.0,45.0,47.0,62.0,0.0,43.0,0.0
2020-01-12,31.0,61.0,31.0,33.0,0.0,34.0,0.0,22.0,0.0,0.0
2020-01-13,0.0,27.0,60.0,45.0,38.0,52.0,52.0,19.0,0.0,44.0
2020-01-14,54.0,0.0,52.0,30.0,37.0,73.0,0.0,19.0,0.0,0.0
2020-01-15,58.0,29.0,52.0,32.0,40.0,37.0,0.0,0.0,0.0,0.0
2020-01-16,44.0,29.0,57.0,33.0,0.0,28.0,0.0,21.0,0.0,47.0
2020-01-17,61.0,0.0,74.0,50.0,83.0,92.0,0.0,21.0,0.0,0.0
2020-01-18,100.0,100.0,38.0,36.0,0.0,48.0,0.0,39.0,0.0,0.0
2020-01-19,0.0,65.0,42.0,35.0,67.0,52.0,0.0,23.0,0.0,0.0
2020-01-20,30.0,0.0,46.0,48.0,0.0,75.0,0.0,0.0,39.0,0.0
2020-01-21,73.0,0.0,38.0,53.0,0.0,42.0,0.0,21.0,38.0,0.0
2020-01-22,29.0,0.0,53.0,32.0,0.0,28.0,57.0,35.0,79.0,48.0
2020-01-23,0.0,30.0,77.0,33.0,0.0,57.0,0.0,0.0,39.0,48.0
2020-01-24,0.0,30.0,47.0,49.0,0.0,48.0,58.0,0.0,100.0,49.0
2020-01-25,0.0,0.0,34.0,37.0,0.0,27.0,64.0,0.0,89.0,0.0
2020-01-26,48.0,32.0,33.0,0.0,0.0,46.0,0.0,0.0,0.0,51.0
2020-01-27,28.0,28.0,40.0,31.0,0.0,63.0,0.0,40.0,50.0,0.0
2020-01-28,29.0,29.0,81.0,47.0,0.0,96.0,55.0,20.0,38.0,0.0
2020-01-29,0.0,29.0,64.0,32.0,0.0,65.0,56.0,20.0,0.0,47.0
2020-01-30,30.0,30.0,50.0,65.0,0.0,62.0,57.0,21.0,0.0,48.0
2020-01-31,30.0,30.0,39.0,33.0,42.0,53.0,58.0,0.0,40.0,0.0
2020-02-01,0.0,0.0,39.0,37.0,46.0,37.0,0.0,0.0,0.0,0.0
2020-02-02,65.0,32.0,37.0,71.0,45.0,31.0,62.0,0.0,43.0,0.0
2020-02-03,53.0,27.0,51.0,58.0,0.0,51.0,0.0,19.0,0.0,42.0
2020-02-04,29.0,0.0,60.0,0.0,40.0,42.0,0.0,20.0,39.0,0.0
2020-02-05,29.0,0.0,79.0,32.0,0.0,33.0,0.0,20.0,39.0,47.0
2020-02-06,44.0,0.0,26.0,32.0,0.0,61.0,56.0,41.0,39.0,0.0
2020-02-07,57.0,0.0,43.0,46.0,0.0,58.0,54.0,20.0,0.0,0.0
2020-02-08,69.0,0.0,40.0,38.0,0.0,55.0,0.0,24.0,0.0,0.0
2020-02-09,33.0,33.0,38.0,36.0,0.0,52.0,63.0,23.0,0.0,53.0
2020-02-10,29.0,29.0,48.0,64.0,40.0,46.0,0.0,41.0,39.0,0.0
2020-02-11,29.0,0.0,63.0,48.0,0.0,41.0,0.0,20.0,0.0,47.0
2020-02-12,29.0,29.0,41.0,64.0,0.0,47.0,0.0,21.0,0.0,0.0
2020-02-13,29.0,0.0,71.0,65.0,41.0,47.0,57.0,20.0,0.0,0.0
2020-02-14,0.0,0.0,34.0,33.0,41.0,57.0,0.0,0.0,0.0,72.0
2020-02-15,49.0,0.0,42.0,36.0,0.0,79.0,0.0,23.0,0.0,0.0
2020-02-16,32.0,32.0,37.0,47.0,45.0,41.0,0.0,22.0,43.0,0.0
2020-02-17,28.0,0.0,40.0,41.0,0.0,81.0,54.0,20.0,38.0,46.0
2020-02-18,28.0,0.0,100.0,30.0,38.0,62.0,0.0,46.0,37.0,45.0
2020-02-19,0.0,28.0,83.0,31.0,39.0,80.0,54.0,20.0,0.0,0.0
2020-02-20,29.0,28.0,73.0,0.0,0.0,41.0,0.0,30.0,94.0,0.0
2020-02-21,58.0,0.0,33.0,63.0,80.0,65.0,55.0,20.0,0.0,0.0
2020-02-22,32.0,0.0,54.0,35.0,45.0,36.0,0.0,23.0,43.0,0.0
2020-02-23,63.0,0.0,45.0,0.0,44.0,23.0,0.0,44.0,0.0,0.0
2020-02-24,28.0,0.0,54.0,30.0,0.0,45.0,54.0,0.0,0.0,0.0
2020-02-25,28.0,28.0,64.0,61.0,0.0,40.0,53.0,39.0,74.0,0.0
2020-02-26,54.0,0.0,59.0,29.0,0.0,77.0,51.0,28.0,36.0,0.0
2020-02-27,26.0,0.0,40.0,56.0,0.0,57.0,49.0,37.0,34.0,0.0
2020-02-28,0.0,29.0,41.0,62.0,0.0,51.0,55.0,20.0,0.0,0.0
2020-02-29,32.0,0.0,37.0,53.0,0.0,57.0,62.0,23.0,0.0,0.0
2020-03-01,48.0,0.0,41.0,35.0,44.0,51.0,0.0,0.0,85.0,0.0
2020-03-02,28.0,28.0,43.0,51.0,0.0,67.0,0.0,59.0,37.0,0.0
2020-03-03,28.0,0.0,22.0,31.0,0.0,41.0,0.0,20.0,56.0,0.0
2020-03-04,28.0,28.0,51.0,31.0,0.0,58.0,0.0,39.0,0.0,0.0
2020-03-05,29.0,39.0,45.0,48.0,0.0,61.0,0.0,27.0,39.0,0.0
2020-03-06,58.0,0.0,45.0,31.0,40.0,55.0,0.0,20.0,96.0,0.0
2020-03-07,65.0,32.0,29.0,71.0,0.0,31.0,62.0,23.0,0.0,52.0
2020-03-08,63.0,31.0,60.0,57.0,43.0,30.0,0.0,22.0,41.0,100.0
2020-03-09,0.0,0.0,63.0,59.0,0.0,65.0,52.0,38.0,0.0,0.0
2020-03-10,44.0,0.0,65.0,48.0,37.0,34.0,0.0,37.0,0.0,42.0
2020-03-11,28.0,0.0,60.0,30.0,0.0,44.0,0.0,78.0,73.0,0.0
2020-03-12,26.0,0.0,31.0,58.0,0.0,47.0,0.0,25.0,0.0,0.0
2020-03-13,52.0,0.0,47.0,56.0,36.0,42.0,50.0,19.0,70.0,0.0
2020-03-14,0.0,32.0,73.0,52.0,88.0,25.0,0.0,22.0,42.0,0.0
2020-03-15,31.0,31.0,51.0,68.0,87.0,25.0,0.0,43.0,41.0,49.0
2020-03-16,26.0,0.0,48.0,48.0,0.0,25.0,51.0,18.0,35.0,0.0
2020-03-17,0.0,0.0,51.0,39.0,37.0,55.0,0.0,100.0,35.0,0.0
2020-03-18,27.0,0.0,35.0,30.0,0.0,17.0,0.0,19.0,36.0,43.0
2020-03-19,27.0,27.0,28.0,29.0,0.0,38.0,0.0,19.0,0.0,43.0
2020-03-20,65.0,26.0,40.0,43.0,0.0,31.0,100.0,18.0,0.0,0.0
2020-03-21,30.0,44.0,53.0,32.0,0.0,35.0,0.0,21.0,0.0,0.0
2020-03-22,29.0,30.0,23.0,32.0,81.0,47.0,0.0,0.0,0.0,47.0
2020-03-23,23.0,0.0,33.0,38.0,0.0,37.0,0.0,44.0,0.0,0.0
2020-03-24,0.0,0.0,40.0,28.0,35.0,29.0,0.0,36.0,0.0,0.0
2020-03-25,0.0,27.0,38.0,0.0,37.0,26.0,52.0,19.0,36.0,0.0
2020-03-26,0.0,27.0,24.0,58.0,0.0,25.0,0.0,0.0,70.0,0.0
2020-03-27,26.0,0.0,46.0,56.0,0.0,33.0,0.0,36.0,34.0,0.0
2020-03-28,30.0,0.0,26.0,81.0,41.0,28.0,0.0,42.0,0.0,0.0
2020-03-29,28.0,28.0,51.0,0.0,39.0,34.0,0.0,0.0,37.0,0.0
2020-03-30,0.0,0.0,26.0,36.0,0.0,36.0,48.0,53.0,0.0,0.0
2020-03-31,39.0,0.0,66.0,42.0,0.0,31.0,0.0,18.0,0.0,0.0
2020-04-01,25.0,0.0,64.0,27.0,69.0,28.0,0.0,0.0,33.0,0.0
2020-04-02,0.0,25.0,35.0,27.0,34.0,47.0,47.0,18.0,33.0,0.0
2020-04-03,25.0,26.0,43.0,28.0,0.0,37.0,49.0,18.0,68.0,41.0
2020-04-04,60.0,30.0,50.0,32.0,41.0,38.0,0.0,0.0,39.0,0.0
2020-04-05,27.0,0.0,42.0,30.0,38.0,20.0,0.0,0.0,0.0,0.0
2020-04-06,24.0,0.0,56.0,53.0,100.0,35.0,0.0,28.0,64.0,0.0
2020-04-07,75.0,25.0,51.0,81.0,0.0,24.0,48.0,35.0,33.0,0.0
2020-04-08,37.0,0.0,28.0,40.0,0.0,23.0,0.0,18.0,32.0,0.0
2020-04-09,0.0,0.0,46.0,26.0,33.0,30.0,0.0,33.0,32.0,38.0
2020-04-10,39.0,0.0,50.0,28.0,0.0,37.0,98.0,0.0,34.0,0.0
2020-04-11,28.0,56.0,60.0,61.0,76.0,35.0,0.0,19.0,0.0,44.0
2020-04-12,29.0,44.0,41.0,42.0,0.0,35.0,56.0,0.0,0.0,0.0
2020-04-13,25.0,25.0,29.0,41.0,0.0,32.0,48.0,24.0,33.0,0.0
2020-04-14,24.0,25.0,56.0,27.0,34.0,35.0,0.0,0.0,0.0,39.0
2020-04-15,25.0,0.0,66.0,40.0,0.0,47.0,47.0,35.0,33.0,39.0
2020-04-16,25.0,25.0,60.0,27.0,34.0,43.0,47.0,26.0,0.0,0.0
2020-04-17,38.0,0.0,52.0,36.0,70.0,36.0,48.0,0.0,33.0,0.0
2020-04-18,29.0,0.0,48.0,73.0,60.0,32.0,0.0,20.0,0.0,47.0
2020-04-19,27.0,27.0,31.0,29.0,73.0,38.0,51.0,0.0,35.0,0.0
2020-04-20,25.0,0.0,38.0,40.0,34.0,35.0,0.0,40.0,0.0,0.0
2020-04-21,48.0,24.0,56.0,26.0,0.0,19.0,46.0,0.0,0.0,39.0
2020-04-22,49.0,24.0,50.0,44.0,34.0,27.0,47.0,17.0,0.0,0.0
2020-04-23,25.0,25.0,54.0,36.0,34.0,28.0,48.0,18.0,0.0,40.0
2020-04-24,0.0,0.0,37.0,28.0,36.0,19.0,50.0,18.0,35.0,0.0
2020-04-25,30.0,0.0,58.0,0.0,0.0,38.0,0.0,21.0,0.0,48.0
2020-04-26,28.0,28.0,33.0,0.0,59.0,40.0,54.0,20.0,37.0,0.0
2020-04-27,37.0,25.0,25.0,27.0,0.0,20.0,0.0,77.0,33.0,79.0
2020-04-28,26.0,26.0,39.0,56.0,0.0,41.0,0.0,18.0,51.0,0.0
2020-04-29,53.0,0.0,47.0,43.0,0.0,54.0,0.0,28.0,0.0,42.0
2020-04-30,0.0,0.0,69.0,26.0,0.0,34.0,0.0,0.0,31.0,0.0
2020-05-01,51.0,26.0,46.0,41.0,0.0,61.0,49.0,18.0,34.0,41.0
2020-05-02,30.0,0.0,35.0,66.0,42.0,48.0,0.0,21.0,40.0,49.0
2020-05-03,0.0,0.0,63.0,42.0,0.0,46.0,0.0,30.0,0.0,46.0
2020-05-04,0.0,24.0,40.0,44.0,0.0,42.0,46.0,34.0,0.0,0.0
2020-05-05,70.0,0.0,65.0,25.0,0.0,52.0,0.0,0.0,0.0,0.0
2020-05-06,34.0,25.0,62.0,42.0,0.0,49.0,99.0,18.0,34.0,0.0
2020-05-07,38.0,0.0,56.0,65.0,0.0,41.0,0.0,0.0,34.0,41.0
2020-05-08,25.0,25.0,46.0,42.0,35.0,52.0,48.0,18.0,33.0,0.0
2020-05-09,27.0,0.0,37.0,39.0,0.0,39.0,52.0,19.0,36.0,43.0
2020-05-10,27.0,28.0,42.0,30.0,38.0,26.0,53.0,0.0,0.0,0.0
2020-05-11,25.0,37.0,73.0,27.0,0.0,59.0,0.0,52.0,0.0,0.0
2020-05-12,0.0,0.0,44.0,67.0,34.0,47.0,0.0,26.0,0.0,0.0
2020-05-13,0.0,0.0,52.0,28.0,52.0,44.0,48.0,27.0,0.0,41.0
2020-05-14,38.0,26.0,69.0,28.0,35.0,41.0,74.0,18.0,0.0,0.0
2020-05-15,25.0,37.0,38.0,54.0,35.0,48.0,0.0,17.0,0.0,0.0
2020-05-16,30.0,0.0,39.0,66.0,83.0,38.0,0.0,0.0,0.0,0.0
2020-05-17,31.0,31.0,28.0,90.0,0.0,39.0,0.0,22.0,41.0,0.0
2020-05-18,0.0,0.0,65.0,31.0,0.0,22.0,0.0,0.0,0.0,45.0
2020-05-19,25.0,38.0,68.0,69.0,0.0,78.0,0.0,61.0,0.0,40.0
2020-05-20,0.0,26.0,56.0,37.0,35.0,41.0,49.0,18.0,0.0,0.0
2020-05-21,26.0,26.0,57.0,57.0,36.0,50.0,0.0,18.0,0.0,42.0
