,facial mask,dry skin,Kylie skin,Lumin skin,best skin care,toners,hand moisturizer,dry hands,pimples,men skin care
2020-01-01,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-01-02,0.0,100.0,58.0,0.0,0.0,0.0,0.0,60.0,45.0,0.0
2020-01-03,0.0,32.0,0.0,0.0,51.0,0.0,0.0,0.0,43.0,0.0
2020-01-04,55.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0
2020-01-05,0.0,51.0,59.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
2020-01-06,0.0,46.0,0.0,0.0,0.0,99.0,0.0,55.0,28.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,28.0,0.0
2020-01-08,0.0,31.0,0.0,0.0,49.0,0.0,0.0,0.0,56.0,0.0
2020-01-09,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0
2020-01-10,0.0,42.0,0.0,0.0,50.0,0.0,0.0,0.0,47.0,0.0
2020-01-11,0.0,34.0,0.0,100.0,54.0,0.0,0.0,0.0,46.0,0.0
2020-01-12,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,28.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,0.0
2020-01-14,0.0,28.0,0.0,0.0,45.0,0.0,0.0,0.0,25.0,0.0
2020-01-15,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
2020-01-16,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-01-17,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,43.0,0.0
2020-01-18,0.0,52.0,0.0,0.0,55.0,0.0,0.0,0.0,32.0,0.0
2020-01-19,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
2020-01-20,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
2020-01-21,49.0,30.0,53.0,0.0,0.0,98.0,0.0,0.0,41.0,0.0
2020-01-22,98.0,31.0,54.0,0.0,0.0,0.0,0.0,55.0,28.0,0.0
2020-01-23,100.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-01-24,0.0,31.0,0.0,0.0,50.0,0.0,0.0,0.0,57.0,81.0
2020-01-25,0.0,46.0,61.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
2020-01-26,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,59.0,52.0,0.0,47.0,0.0,0.0,0.0,27.0,0.0
2020-01-28,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
2020-01-29,48.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
2020-01-31,0.0,63.0,0.0,0.0,51.0,0.0,0.0,0.0,29.0,0.0
2020-02-01,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2020-02-02,0.0,34.0,58.0,0.0,54.0,0.0,0.0,0.0,46.0,0.0
2020-02-03,44.0,28.0,0.0,81.0,44.0,0.0,0.0,0.0,50.0,0.0
2020-02-04,0.0,45.0,0.0,91.0,48.0,0.0,0.0,0.0,41.0,0.0
2020-02-05,48.0,61.0,53.0,0.0,49.0,0.0,0.0,0.0,28.0,0.0
2020-02-06,0.0,76.0,0.0,0.0,48.0,0.0,0.0,54.0,84.0,0.0
2020-02-07,0.0,58.0,51.0,0.0,0.0,0.0,0.0,52.0,27.0,0.0
2020-02-08,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,93.0
2020-02-09,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
2020-02-10,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
2020-02-11,0.0,30.0,0.0,0.0,0.0,97.0,0.0,0.0,36.0,0.0
2020-02-12,73.0,46.0,0.0,0.0,0.0,0.0,0.0,55.0,83.0,0.0
2020-02-13,49.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,80.0
2020-02-14,0.0,41.0,0.0,0.0,0.0,100.0,0.0,0.0,28.0,0.0
2020-02-15,0.0,51.0,59.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
2020-02-16,0.0,33.0,0.0,0.0,53.0,0.0,0.0,0.0,30.0,0.0
2020-02-17,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,76.0
2020-02-18,46.0,29.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
2020-02-20,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
2020-02-21,0.0,75.0,0.0,0.0,48.0,97.0,0.0,0.0,41.0,0.0
2020-02-22,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
2020-02-23,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
2020-02-24,0.0,29.0,0.0,0.0,0.0,95.0,0.0,0.0,26.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2020-02-26,0.0,28.0,0.0,83.0,0.0,0.0,0.0,0.0,51.0,0.0
2020-02-27,42.0,27.0,0.0,79.0,0.0,0.0,0.0,0.0,24.0,0.0
2020-02-28,0.0,45.0,0.0,0.0,48.0,0.0,0.0,0.0,27.0,0.0
2020-02-29,0.0,33.0,58.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
2020-03-01,0.0,55.0,58.0,0.0,0.0,0.0,0.0,0.0,30.0,85.0
2020-03-02,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
2020-03-03,47.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
2020-03-04,47.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
2020-03-05,0.0,51.0,0.0,0.0,0.0,98.0,0.0,0.0,55.0,0.0
2020-03-06,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
2020-03-07,53.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
2020-03-08,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,84.0
2020-03-09,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2020-03-10,44.0,55.0,0.0,0.0,44.0,0.0,0.0,0.0,33.0,0.0
2020-03-11,91.0,43.0,0.0,0.0,46.0,0.0,0.0,52.0,52.0,0.0
2020-03-12,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2020-03-13,43.0,41.0,0.0,0.0,0.0,88.0,0.0,0.0,100.0,70.0
2020-03-14,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
2020-03-15,50.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
2020-03-16,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2020-03-17,44.0,42.0,48.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2020-03-18,45.0,28.0,0.0,0.0,0.0,0.0,91.0,0.0,26.0,0.0
2020-03-19,45.0,84.0,48.0,0.0,0.0,91.0,0.0,100.0,25.0,0.0
2020-03-20,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
2020-03-21,49.0,46.0,0.0,0.0,0.0,100.0,0.0,55.0,28.0,80.0
2020-03-22,49.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-03-23,39.0,49.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,0.0
2020-03-24,43.0,27.0,0.0,80.0,0.0,0.0,0.0,95.0,36.0,0.0
2020-03-25,0.0,71.0,0.0,0.0,0.0,0.0,90.0,51.0,26.0,0.0
2020-03-26,44.0,83.0,48.0,82.0,44.0,90.0,0.0,0.0,50.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,43.0,87.0,0.0,48.0,49.0,0.0
2020-03-28,48.0,61.0,53.0,0.0,48.0,0.0,0.0,0.0,56.0,0.0
2020-03-29,0.0,44.0,0.0,0.0,47.0,0.0,0.0,0.0,27.0,0.0
2020-03-30,0.0,65.0,45.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0
2020-03-31,43.0,54.0,0.0,0.0,43.0,0.0,0.0,48.0,32.0,0.0
2020-04-01,0.0,52.0,45.0,0.0,0.0,85.0,0.0,0.0,47.0,0.0
2020-04-02,41.0,52.0,45.0,0.0,41.0,0.0,0.0,0.0,35.0,0.0
2020-04-03,42.0,44.0,0.0,0.0,0.0,87.0,0.0,0.0,24.0,0.0
2020-04-04,0.0,52.0,0.0,92.0,0.0,0.0,100.0,0.0,28.0,0.0
2020-04-05,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,40.0,25.0,58.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0
2020-04-07,82.0,26.0,0.0,0.0,42.0,0.0,0.0,0.0,24.0,0.0
2020-04-08,0.0,38.0,0.0,76.0,0.0,0.0,0.0,0.0,46.0,0.0
2020-04-09,0.0,62.0,0.0,74.0,40.0,0.0,0.0,0.0,23.0,0.0
2020-04-10,42.0,27.0,0.0,0.0,43.0,88.0,0.0,0.0,49.0,0.0
2020-04-11,0.0,29.0,50.0,84.0,0.0,0.0,0.0,0.0,26.0,0.0
2020-04-12,49.0,40.0,53.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
2020-04-13,70.0,35.0,45.0,0.0,0.0,0.0,0.0,47.0,59.0,0.0
2020-04-14,40.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,35.0,0.0
2020-04-15,0.0,0.0,0.0,76.0,0.0,83.0,0.0,46.0,35.0,0.0
2020-04-16,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
2020-04-17,42.0,26.0,0.0,0.0,42.0,0.0,0.0,47.0,24.0,0.0
2020-04-18,0.0,30.0,52.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0
2020-04-19,0.0,28.0,0.0,0.0,44.0,0.0,0.0,0.0,25.0,0.0
2020-04-20,41.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
2020-04-21,0.0,25.0,0.0,0.0,80.0,0.0,0.0,0.0,46.0,0.0
2020-04-22,41.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
2020-04-23,41.0,35.0,89.0,77.0,0.0,0.0,0.0,0.0,31.0,0.0
2020-04-24,0.0,27.0,47.0,0.0,86.0,0.0,0.0,49.0,49.0,0.0
2020-04-25,50.0,63.0,54.0,0.0,50.0,0.0,0.0,0.0,38.0,0.0
2020-04-26,47.0,59.0,0.0,0.0,0.0,0.0,0.0,52.0,27.0,0.0
2020-04-27,82.0,38.0,44.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
2020-04-28,42.0,44.0,0.0,79.0,85.0,0.0,0.0,48.0,40.0,0.0
2020-04-29,0.0,41.0,47.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,0.0,37.0,0.0,0.0,0.0,0.0,0.0,44.0,33.0,0.0
2020-05-01,42.0,44.0,46.0,79.0,0.0,0.0,0.0,95.0,24.0,0.0
2020-05-02,50.0,53.0,55.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
2020-05-03,48.0,30.0,0.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0
2020-05-04,0.0,75.0,0.0,0.0,0.0,0.0,81.0,0.0,38.0,0.0
2020-05-05,0.0,24.0,42.0,0.0,38.0,0.0,0.0,43.0,51.0,0.0
2020-05-06,42.0,40.0,0.0,0.0,42.0,0.0,0.0,0.0,24.0,0.0
2020-05-07,42.0,40.0,0.0,0.0,42.0,0.0,0.0,0.0,60.0,0.0
2020-05-08,0.0,53.0,0.0,0.0,0.0,0.0,85.0,0.0,32.0,0.0
2020-05-09,45.0,57.0,49.0,0.0,45.0,0.0,0.0,0.0,38.0,74.0
2020-05-10,46.0,29.0,100.0,0.0,0.0,92.0,0.0,0.0,0.0,74.0
2020-05-11,41.0,43.0,44.0,0.0,42.0,0.0,0.0,0.0,39.0,0.0
2020-05-12,0.0,38.0,0.0,0.0,41.0,0.0,0.0,0.0,55.0,0.0
2020-05-13,42.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
2020-05-14,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
2020-05-15,41.0,52.0,0.0,0.0,42.0,0.0,0.0,0.0,48.0,0.0
2020-05-16,0.0,62.0,0.0,0.0,100.0,0.0,0.0,0.0,43.0,0.0
2020-05-17,0.0,65.0,0.0,0.0,51.0,0.0,0.0,57.0,44.0,0.0
2020-05-18,0.0,88.0,51.0,0.0,94.0,95.0,0.0,0.0,53.0,0.0
2020-05-19,0.0,35.0,0.0,78.0,0.0,0.0,0.0,0.0,24.0,0.0
2020-05-20,43.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
2020-05-21,88.0,27.0,0.0,0.0,44.0,0.0,0.0,0.0,25.0,0.0
